iter	Passed	Remaining
399	95747	269289
400	95988	269055
401	96262	268913
402	96498	268662
403	96720	268375
404	96956	268127
405	97166	267807
406	97411	267583
407	97627	267279
408	97862	267027
409	98114	266824
410	98350	266576
411	98565	266269
412	98791	265994
413	98999	265671
414	99239	265436
415	99489	265224
416	99739	265014
417	99990	264808
418	100203	264499
419	100438	264247
420	100682	264023
421	100900	263728
422	101130	263466
423	101370	263229
424	101632	263047
425	101844	262738
426	102069	262464
427	102316	262246
428	102566	262034
429	102801	261785
430	103037	261538
431	103268	261277
432	103487	260988
433	103715	260722
434	103952	260479
435	104183	260218
436	104406	259942
437	104620	259639
438	104856	259394
439	105081	259121
440	105290	258809
441	105493	258484
442	105735	258252
443	105954	257966
444	106182	257701
445	106417	257453
446	106642	257183
447	106894	256977
448	107127	256724
449	107347	256440
450	107556	256131
451	107794	255892
452	108027	255641
453	108261	255392
454	108498	255150
455	108747	254935
456	108974	254671
457	109192	254386
458	109423	254128
459	109651	253867
460	109886	253621
461	110129	253392
462	110402	253234
463	110647	253010
464	110874	252747
465	111103	252486
466	111332	252226
467	111583	252015
468	111847	251835
469	112100	251630
470	112359	251438
471	112631	251273
472	112874	251043
473	113094	250764
474	113352	250569
475	113620	250394
476	113854	250146
477	114097	249915
478	114344	249695
479	114573	249436
480	114805	249182
481	115042	248940
482	115266	248669
483	115496	248413
484	115748	248204
485	116013	248020
486	116294	247872
487	116549	247667
488	116813	247483
489	117085	247312
490	117323	247072
491	117590	246891
492	117836	246668
493	118081	246440
494	118299	246158
495	118560	245964
496	118816	245761
497	119048	245508
498	119296	245287
499	119552	245083
500	119812	244886
501	120075	244696
502	120316	244460
503	120545	244200
504	120795	243983
505	121030	243736
506	121277	243512
507	121494	243228
508	121727	242976
509	121965	242736
510	122227	242542
511	122478	242325
512	122683	242018
513	122916	241766
514	123151	241521
515	123369	241239
516	123582	240949
517	123816	240701
518	124028	240409
519	124244	240125
520	124486	239892
521	124702	239610
522	124930	239350
523	125154	239084
524	125400	238858
525	125621	238584
526	125862	238350
527	126086	238083
528	126316	237829
529	126522	237528
530	126745	237260
531	126992	237037
532	127211	236760
533	127438	236501
534	127692	236290
535	127915	236023
536	128124	235729
537	128369	235502
538	128595	235242
539	128829	234994
540	129051	234726
541	129268	234448
542	129525	234243
543	129751	233982
544	129978	233723
545	130220	233491
546	130457	233249
547	130715	233044
548	130936	232776
549	131177	232542
550	131431	232331
551	131661	232076
552	131872	231790
553	132122	231572
554	132356	231325
555	132582	231064
556	132816	230819
557	133068	230604
558	133309	230370
559	133578	230184
560	133824	229958
561	134066	229725
562	134280	229445
563	134509	229191
564	134761	228974
565	134983	228708
566	135236	228495
567	135476	228259
568	135746	228073
569	135990	227843
570	136207	227569
571	136433	227309
572	136673	227073
573	136916	226842
574	137172	226632
575	137422	226412
576	137645	226148
577	137884	225911
578	138133	225690
579	138395	225489
580	138637	225256
581	138871	225010
582	139114	224777
583	139342	224522
584	139561	224253
585	139803	224020
586	140050	223793
587	140317	223601
588	140567	223380
589	140816	223157
590	141019	222862
591	141261	222630
592	141495	222384
593	141738	222153
594	141969	221902
595	142203	221656
596	142442	221417
597	142667	221158
598	142889	220895
599	143114	220635
600	143347	220388
601	143678	220291
602	143887	220007
603	144119	219758
604	144321	219464
605	144564	219232
606	144797	218985
607	145040	218753
608	145295	218539
609	145527	218291
610	145793	218094
611	146021	217838
612	146227	217552
613	146480	217335
614	146690	217054
615	146942	216835
616	147191	216612
617	147442	216391
618	147670	216138
619	147926	215924
620	148175	215702
621	148428	215483
622	148681	215266
623	148943	215060
624	149178	214816
625	149429	214596
626	149682	214378
627	149931	214154
628	150171	213916
629	150417	213688
630	150649	213440
631	150897	213214
632	151122	212955
633	151373	212734
634	151597	212475
635	151840	212242
636	152072	211994
637	152294	211732
638	152533	211493
639	152761	211241
640	152984	210979
641	153226	210746
642	153427	210456
643	153633	210172
644	153866	209926
645	154083	209658
646	154304	209395
647	154541	209155
648	154787	208926
649	155025	208687
650	155271	208459
651	155506	208217
652	155726	207953
653	155968	207719
654	156198	207469
655	156421	207210
656	156649	206958
657	156876	206705
658	157110	206460
659	157338	206208
660	157568	205959
661	157786	205694
662	158018	205448
663	158263	205218
664	158498	204975
665	158706	204697
666	158952	204469
667	159182	204220
668	159409	203968
669	159626	203702
670	159868	203468
671	160106	203230
672	160338	202983
673	160589	202762
674	160828	202524
675	161066	202286
676	161303	202046
677	161525	201787
678	161767	201554
679	161990	201296
680	162218	201045
681	162441	200789
682	162656	200521
683	162885	200272
684	163151	200069
685	163391	199832
686	163603	199563
687	163842	199325
688	164070	199075
689	164287	198811
690	164524	198572
691	164761	198332
692	164969	198058
693	165196	197807
694	165430	197564
695	165647	197301
696	165887	197065
697	166122	196823
698	166370	196598
699	166589	196337
700	166840	196114
701	167061	195857
702	167306	195627
703	167558	195405
704	167787	195156
705	168036	194931
706	168275	194695
707	168523	194468
708	168770	194241
709	168963	193951
710	169211	193724
711	169449	193486
712	169674	193234
713	169924	193009
714	170150	192758
715	170390	192522
716	170632	192288
717	170866	192046
718	171112	191816
719	171344	191572
720	171567	191317
721	171806	191081
722	172062	190862
723	172286	190609
724	172545	190394
725	172793	190167
726	173030	189928
